,headline,anger,disgust,fear,joy,neutral,sadness,surprise
0,Kerry to go to Paris in gesture of sympathy,0.0030757938511669636,0.00471906503662467,0.0016799404984340072,0.5707700848579407,0.05835840106010437,0.3464360535144806,0.014960719272494316
1,The Battle of New York: Why This Primary Matters,0.06584206223487854,0.013783281669020653,0.2406298816204071,0.00894480012357235,0.5700178742408752,0.012401650659739971,0.08838043361902237
2,‘Britain’s Schindler’ Dies at 106,0.004836393985897303,0.024518651887774467,0.008537421934306622,0.004174519795924425,0.19981443881988525,0.7199028134346008,0.03821578994393349
3,Fact check: Trump and Clinton at the 'commander-in-chief' forum,0.02529449202120304,0.05998329445719719,0.024816107004880905,0.0166628435254097,0.7803613543510437,0.0062800198793411255,0.08660193532705307
4,Iran reportedly makes new push for uranium concessions in nuclear talks,0.1648116260766983,0.04210422560572624,0.08441954851150513,0.030224807560443878,0.531891942024231,0.03430270776152611,0.11224514991044998
5,"With all three Clintons in Iowa, a glimpse at the fire that has eluded Hillary Clinton’s campaign",0.2806316614151001,0.036167651414871216,0.3471008241176605,0.007177435327321291,0.2220003455877304,0.07252421975135803,0.034397803246974945
6,Donald Trump’s Shockingly Weak Delegate Game Somehow Got Even Worse,0.05618050694465637,0.5348897576332092,0.33495572209358215,0.0018688385607674718,0.02496722899377346,0.01417679712176323,0.03296106681227684
7,"Trump takes on Cruz, but lightly",0.04868413135409355,0.08514904230833054,0.006717316340655088,0.011566768400371075,0.8262015581130981,0.015423749573528767,0.006257389206439257
8,How women lead differently,0.009762006811797619,0.007615350186824799,0.005609605927020311,0.0033223864156752825,0.926910936832428,0.008187498897314072,0.038592346012592316
9,What's in that Iran bill that Obama doesn't like?,0.045066799968481064,0.1428496539592743,0.013028708286583424,0.002651927759870887,0.6733803153038025,0.0168150682002306,0.10620751231908798
10,The 1 chart that explains everything you need to know about partisanship in America,0.012031417340040207,0.003915065433830023,0.005366659257560968,0.0153135284781456,0.9172201156616211,0.0022253701463341713,0.04392777383327484
11,The slippery slope to Trump’s proposed ban on Muslims,0.009143727831542492,0.01807038113474846,0.906348705291748,0.002937597455456853,0.048515547066926956,0.0062794676050543785,0.008704510517418385
12,Hillary Clinton Makes A Bipartisan Appeal on Staten Island,0.008936426602303982,0.011780659668147564,0.011336402036249638,0.09492244571447372,0.8117902874946594,0.011121037416160107,0.05011269077658653
13,New Senate majority leader’s main goal for GOP: Don’t be scary,0.0023657933343201876,0.0019341027364134789,0.960090160369873,0.0019334028474986553,0.025317374616861343,0.002819205168634653,0.005539884325116873
14,Anti-Trump forces seek last-ditch delegate revolt,0.5887625217437744,0.006239374168217182,0.2902683615684509,0.00413369620218873,0.09481727331876755,0.009587761014699936,0.006191043183207512
15,Sanders Trounces Clinton in W. Va. -- But Will It Make a Difference?,0.030981246381998062,0.060757555067539215,0.11383549124002457,0.0026662866584956646,0.4837075471878052,0.2818821668624878,0.026169605553150177
16,Donald Trump Is Changing His Campaign Slogan to Prove He’s Not Racist,0.055719044059515,0.1026332899928093,0.020831013098359108,0.002076467964798212,0.7949506640434265,0.010367531329393387,0.013422003947198391
17,Pure chaos: Donald Trump’s campaign management offers a glimpse into his governing style (spoiler alert: it’s terrible),0.029117397964000702,0.6688541173934937,0.25750136375427246,0.0012664719251915812,0.01978873461484909,0.014553473331034184,0.00891844928264618
18,GOP insiders: Carly crushed it,0.6632997989654541,0.20407651364803314,0.007452684920281172,0.0024454607628285885,0.07258982211351395,0.029200833290815353,0.02093489095568657
19,Both parties want to craft populist messages for 2016,0.008516966365277767,0.006764379795640707,0.0026092592161148787,0.00625345204025507,0.9609347581863403,0.005566360894590616,0.009354802779853344
20,First Take: Wall Street bids goodbye to June hike,0.009616238996386528,0.02275770902633667,0.036762990057468414,0.011382082477211952,0.32102498412132263,0.57559734582901,0.02285863272845745
21,"With 3:20 a.m. tweet storm Saturday, Clinton continues to mock Trump’s Friday ‘meltdown’",0.14688582718372345,0.02351687289774418,0.6924646496772766,0.005208283197134733,0.08773239701986313,0.02720530703663826,0.01698659360408783
22,Obama makes the right call to tough it out in Afghanistan,0.021636907011270523,0.012146787717938423,0.0073602087795734406,0.010753199458122253,0.9347288608551025,0.00858660601079464,0.004787490703165531
23,Senate race rankings: Dems attack as GOP lays swing-state groundwork,0.6432487964630127,0.01869949884712696,0.27337881922721863,0.002399719087406993,0.04247140511870384,0.010386351495981216,0.009415363892912865
24,American politics has reached peak polarization,0.048331405967473984,0.07004743814468384,0.03369571641087532,0.003595076035708189,0.7045321464538574,0.11377699673175812,0.026021232828497887
25,Anti-Muhammad cartoon contest: Free speech or deliberately provocative? (+video),0.6102874875068665,0.11589817702770233,0.018682532012462616,0.005518951453268528,0.23746541142463684,0.00269463867880404,0.009452727623283863
26,World's newspapers react to 'Hebdo' attack,0.34608808159828186,0.03492412716150284,0.49056217074394226,0.003147441428154707,0.0563230998814106,0.023825522512197495,0.045129626989364624
27,"Closed primaries, 'warped' democracy?",0.029751624912023544,0.06780437380075455,0.005054348614066839,0.003124203300103545,0.4914509057998657,0.0063430811278522015,0.3964715003967285
28,Donald Trump: Hillary Clinton has 'caused tremendous death',0.0504801981151104,0.02210356295108795,0.7632768750190735,0.0018049367936328053,0.06031143665313721,0.0873493030667305,0.01467371266335249
29,Biden makes another surprise political stop,0.006725323852151632,0.0010359416482970119,0.0021618930622935295,0.020005494356155396,0.07861743867397308,0.00578622380271554,0.885667622089386
30,"Hillary Clinton's declining favorability numbers, in context",0.02521766535937786,0.11275862157344818,0.03312654048204422,0.005970923230051994,0.6860362887382507,0.08349418640136719,0.05339581519365311
31,Hillary Clinton: The criminal investigation keeps moving forward,0.06813514232635498,0.0289288479834795,0.04113665595650673,0.004521836061030626,0.7443508505821228,0.08684191107749939,0.026084717363119125
32,Rubio’s parting shot at Trump,0.45924049615859985,0.13926616311073303,0.023822899907827377,0.0070227207615971565,0.1477794647216797,0.18331396579742432,0.03955436870455742
33,Loretta Lynch becomes first African-American woman AG.,0.025813458487391472,0.07454167306423187,0.07877004891633987,0.03347507491707802,0.6531186699867249,0.02148520015180111,0.11279592663049698
34,Why it's funny Republicans are upset with Facebook: Column,0.024056896567344666,0.006291091442108154,0.0033887226600199938,0.22002945840358734,0.09797384589910507,0.008718590252101421,0.6395413875579834
35,FBI checking if Orlando shooter's wife knew attack plan but didn't warn police,0.008825642988085747,0.0018117333529517055,0.9295251965522766,0.001909096958115697,0.025540539994835854,0.016757553443312645,0.01563025452196598
36,Handicapping the Hispanic vote for 2016 GOPers,0.011240506544709206,0.00880507193505764,0.009864605031907558,0.007614427246153355,0.9230810403823853,0.004909042734652758,0.03448530659079552
37,GOP establishment nightmare? Ted Cruz vs. Donald Trump,0.007257852237671614,0.007101353723555803,0.929053008556366,0.0016120747895911336,0.042797017842531204,0.005427076946943998,0.006751652806997299
38,Bernie Sanders lost poor voters in South Carolina by a big margin — a problem for his political revolution,0.130629763007164,0.07605578005313873,0.07726895064115524,0.004911279305815697,0.22722168266773224,0.4626436233520508,0.021268952637910843
39,Jeb Bush Picks Up Endorsement From Lindsey Graham,0.019390996545553207,0.10167211294174194,0.00372910313308239,0.07399100810289383,0.7729063034057617,0.01250341534614563,0.01580699346959591
40,"2016 Republican race enters a new, volatile phase",0.06041359901428223,0.021183600649237633,0.4685567021369934,0.007436036132276058,0.3451020121574402,0.013331093825399876,0.08397694677114487
41,"‘Hands up, don’t shoot’ was built on a lie",0.526390790939331,0.0812247171998024,0.19757026433944702,0.003130893688648939,0.16543971002101898,0.023104792460799217,0.0031389326322823763
42,Bernie Sanders' call for ouster of two convention co-chairs rejected,0.6992936730384827,0.02931579202413559,0.01640363223850727,0.0025130552239716053,0.059051092714071274,0.18560223281383514,0.007820532657206059
43,Five Reasons the New York Democratic Primary Felt Competitive,0.1722317487001419,0.051840171217918396,0.16399617493152618,0.013661619275808334,0.5227490663528442,0.04677649587392807,0.02874472737312317
44,"To get around Congress, Obama turns to city halls",0.00795191153883934,0.011786184273660183,0.04346694052219391,0.005227985791862011,0.8328968286514282,0.007386343088001013,0.09128383547067642
