,headline,anger,disgust,fear,joy,neutral,sadness,surprise
0,You Can Smell Hillary’s Fear,0.01142707746475935,0.0050676800310611725,0.9332622289657593,0.003024076344445348,0.03691455349326134,0.008225212804973125,0.0020791590213775635
1,Watch The Exact Moment Paul Ryan Committed Political Suicide At A Trump Rally (VIDEO),0.043877582997083664,0.11012309044599533,0.23672881722450256,0.0022528483532369137,0.03253959119319916,0.5515188574790955,0.022959252819418907
2,Kerry to go to Paris in gesture of sympathy,0.0030757938511669636,0.00471906503662467,0.0016799404984340072,0.5707700848579407,0.05835840106010437,0.3464360535144806,0.014960719272494316
3,Bernie supporters on Twitter erupt in anger against the DNC: 'We tried to warn you!',0.9814165830612183,0.0032535104546695948,0.005931721068918705,0.0006531999679282308,0.004897227510809898,0.0013704996090382338,0.0024773473851382732
4,The Battle of New York: Why This Primary Matters,0.06584206223487854,0.013783281669020653,0.2406298816204071,0.00894480012357235,0.5700178742408752,0.012401650659739971,0.08838043361902237
5,"Tehran, USA",0.008902003057301044,0.02535776048898697,0.011881405487656593,0.02459406852722168,0.8835921287536621,0.012085389345884323,0.03358718380331993
6,Girl Horrified At What She Watches Boyfriend Do After He Left FaceTime On,0.0011462895199656487,0.001629967475309968,0.9921441078186035,0.0005405363044701517,0.0013141772942617536,0.001974453218281269,0.0012506097555160522
7,‘Britain’s Schindler’ Dies at 106,0.004836393985897303,0.024518651887774467,0.008537421934306622,0.004174519795924425,0.19981443881988525,0.7199028134346008,0.03821578994393349
8,Fact check: Trump and Clinton at the 'commander-in-chief' forum,0.02529449202120304,0.05998329445719719,0.024816107004880905,0.0166628435254097,0.7803613543510437,0.0062800198793411255,0.08660193532705307
9,Iran reportedly makes new push for uranium concessions in nuclear talks,0.1648116260766983,0.04210422560572624,0.08441954851150513,0.030224807560443878,0.531891942024231,0.03430270776152611,0.11224514991044998
10,"With all three Clintons in Iowa, a glimpse at the fire that has eluded Hillary Clinton’s campaign",0.2806316614151001,0.036167651414871216,0.3471008241176605,0.007177435327321291,0.2220003455877304,0.07252421975135803,0.034397803246974945
11,Donald Trump’s Shockingly Weak Delegate Game Somehow Got Even Worse,0.05618050694465637,0.5348897576332092,0.33495572209358215,0.0018688385607674718,0.02496722899377346,0.01417679712176323,0.03296106681227684
12,"Strong Solar Storm, Tech Risks Today | S0 News Oct.26.2016 [VIDEO]",0.009590890258550644,0.002539045875892043,0.05667685344815254,0.007858483120799065,0.8374659419059753,0.014081343077123165,0.07178743183612823
13,10 Ways America Is Preparing for World War 3,0.018641231581568718,0.008801063522696495,0.11089106649160385,0.01933400146663189,0.8063019514083862,0.01363535039126873,0.022395363077521324
