,headline,anger,disgust,fear,joy,neutral,sadness,surprise
0,You Can Smell Hillary’s Fear,0.01142707746475935,0.0050676800310611725,0.9332622289657593,0.003024076344445348,0.03691455349326134,0.008225212804973125,0.0020791590213775635
1,Watch The Exact Moment Paul Ryan Committed Political Suicide At A Trump Rally (VIDEO),0.043877582997083664,0.11012309044599533,0.23672881722450256,0.0022528483532369137,0.03253959119319916,0.5515188574790955,0.022959252819418907
2,Bernie supporters on Twitter erupt in anger against the DNC: 'We tried to warn you!',0.9814165830612183,0.0032535104546695948,0.005931721068918705,0.0006531999679282308,0.004897227510809898,0.0013704996090382338,0.0024773473851382732
3,"Tehran, USA",0.008902003057301044,0.02535776048898697,0.011881405487656593,0.02459406852722168,0.8835921287536621,0.012085389345884323,0.03358718380331993
4,Girl Horrified At What She Watches Boyfriend Do After He Left FaceTime On,0.0011462895199656487,0.001629967475309968,0.9921441078186035,0.0005405363044701517,0.0013141772942617536,0.001974453218281269,0.0012506097555160522
5,"Strong Solar Storm, Tech Risks Today | S0 News Oct.26.2016 [VIDEO]",0.009590890258550644,0.002539045875892043,0.05667685344815254,0.007858483120799065,0.8374659419059753,0.014081343077123165,0.07178743183612823
6,10 Ways America Is Preparing for World War 3,0.018641231581568718,0.008801063522696495,0.11089106649160385,0.01933400146663189,0.8063019514083862,0.01363535039126873,0.022395363077521324
7,Shocking! Michele Obama & Hillary Caught Glamorizing Date Rape Promoters,0.023752067238092422,0.8354642987251282,0.08333224803209305,0.0011937612434849143,0.008102710358798504,0.01001651119440794,0.038138497620821
8,Hillary Clinton in HUGE Trouble After America Noticed SICK Thing Hidden in this Picture... * LIBERTY WRITERS NEWS,0.013399501331150532,0.02924974262714386,0.7490091919898987,0.0034073074348270893,0.1122543066740036,0.07433807104825974,0.018341779708862305
9,Episode #160 – SUNDAY WIRE: ‘Hail to the Deplorables’ with special guest Randy J,0.004923786967992783,0.0036194545682519674,0.0010691906791180372,0.6386387348175049,0.16721653938293457,0.11633387207984924,0.06819845736026764
10,‘Inferno’ and the Overpopulation Myth,0.1386827975511551,0.1301349550485611,0.26015913486480713,0.0024971487000584602,0.3973747491836548,0.026617879047989845,0.044533345848321915
11,"Syrian War Report – November 1, 2016: Syrian Military Deploys Advanced T-90 Battle Tanks to Aleppo",0.02497917413711548,0.01225901860743761,0.037519339472055435,0.03023909032344818,0.6732867956161499,0.03419118747115135,0.18752539157867432
12,Jeffrey Sewell et al. : Metabiology face to face with Artificial Intelligence [VIDEO],0.03391324356198311,0.022303789854049683,0.23998142778873444,0.022058840841054916,0.5146564245223999,0.01539792213588953,0.1516883671283722
