,headline,anger,disgust,fear,joy,neutral,sadness,surprise
0,You Can Smell Hillary’s Fear,0.011427036486566067,0.005067663732916117,0.9332624673843384,0.0030240770429372787,0.03691444545984268,0.008225202560424805,0.002079155296087265
1,Watch The Exact Moment Paul Ryan Committed Political Suicide At A Trump Rally (VIDEO),0.043877679854631424,0.11012356728315353,0.23672865331172943,0.0022528553381562233,0.03253953903913498,0.551518440246582,0.02295924350619316
2,Kerry to go to Paris in gesture of sympathy,0.003075789427384734,0.004719042684882879,0.0016799333970993757,0.5707698464393616,0.05835823342204094,0.34643641114234924,0.014960787259042263
3,Bernie supporters on Twitter erupt in anger against the DNC: 'We tried to warn you!',0.9814165830612183,0.0032535074278712273,0.00593171501532197,0.0006531993276439607,0.004897225648164749,0.0013704996090382338,0.0024773473851382732
4,The Battle of New York: Why This Primary Matters,0.06584221869707108,0.013783298432826996,0.24063171446323395,0.008944821543991566,0.5700160264968872,0.012401686981320381,0.08838017284870148
5,"Tehran, USA",0.008901981636881828,0.025357641279697418,0.011881369166076183,0.02459404617547989,0.883592426776886,0.012085380032658577,0.033587127923965454
6,Girl Horrified At What She Watches Boyfriend Do After He Left FaceTime On,0.0011462868424132466,0.0016299596754834056,0.9921441078186035,0.0005405365373007953,0.0013141728704795241,0.0019744504243135452,0.0012506074272096157
7,‘Britain’s Schindler’ Dies at 106,0.0048363832756876945,0.024518601596355438,0.00853739958256483,0.004174530506134033,0.19981397688388824,0.7199033498764038,0.038215771317481995
8,Fact check: Trump and Clinton at the 'commander-in-chief' forum,0.025294600054621696,0.05998373404145241,0.024816136807203293,0.01666290871798992,0.7803602814674377,0.006280042231082916,0.08660224825143814
9,Iran reportedly makes new push for uranium concessions in nuclear talks,0.16481205821037292,0.042104192078113556,0.08441965281963348,0.03022470511496067,0.531891405582428,0.03430274873971939,0.11224526911973953
10,"With all three Clintons in Iowa, a glimpse at the fire that has eluded Hillary Clinton’s campaign",0.2806312143802643,0.03616761788725853,0.34710052609443665,0.007177470717579126,0.22200122475624084,0.07252403348684311,0.03439795970916748
11,Donald Trump’s Shockingly Weak Delegate Game Somehow Got Even Worse,0.0561804473400116,0.5348895192146301,0.33495619893074036,0.0018688429845497012,0.02496718242764473,0.014176796190440655,0.032961029559373856
12,"Strong Solar Storm, Tech Risks Today | S0 News Oct.26.2016 [VIDEO]",0.00959086325019598,0.0025390377268195152,0.056676529347896576,0.007858478464186192,0.8374663591384888,0.014081303030252457,0.07178739458322525
13,10 Ways America Is Preparing for World War 3,0.018641240894794464,0.008801054209470749,0.11089061200618744,0.019334040582180023,0.8063022494316101,0.0136353624984622,0.022395381703972816
14,"Trump takes on Cruz, but lightly",0.04868413880467415,0.0851491391658783,0.006717305164784193,0.01156683824956417,0.8262014389038086,0.015423757024109364,0.006257397588342428
15,How women lead differently,0.009762004017829895,0.007615351118147373,0.0056096091866493225,0.0033223871141672134,0.9269106388092041,0.008187503553926945,0.03859236463904381
16,Shocking! Michele Obama & Hillary Caught Glamorizing Date Rape Promoters,0.023752007633447647,0.8354650735855103,0.08333180844783783,0.001193758798763156,0.008102679625153542,0.010016477666795254,0.038138248026371
17,Hillary Clinton in HUGE Trouble After America Noticed SICK Thing Hidden in this Picture... * LIBERTY WRITERS NEWS,0.013399513438344002,0.02924971468746662,0.7490095496177673,0.0034073072019964457,0.11225400865077972,0.07433830946683884,0.018341757357120514
18,What's in that Iran bill that Obama doesn't like?,0.045066870748996735,0.14284971356391907,0.01302872784435749,0.002651924965903163,0.6733803153038025,0.01681508682668209,0.106207475066185
19,The 1 chart that explains everything you need to know about partisanship in America,0.01203142385929823,0.003915065433830023,0.0053666639141738415,0.0153135284781456,0.9172201156616211,0.002225368982180953,0.04392777383327484
20,The slippery slope to Trump’s proposed ban on Muslims,0.009143742732703686,0.018070412799715996,0.9063484072685242,0.002937604673206806,0.04851573705673218,0.006279486697167158,0.00870453380048275
21,Episode #160 – SUNDAY WIRE: ‘Hail to the Deplorables’ with special guest Randy J,0.004923762287944555,0.003619433380663395,0.0010691869538277388,0.6386402249336243,0.16721580922603607,0.11633309721946716,0.06819841265678406
22,Hillary Clinton Makes A Bipartisan Appeal on Staten Island,0.008936434984207153,0.011780647560954094,0.011336421594023705,0.09492291510105133,0.8117898106575012,0.01112105417996645,0.05011282116174698
23,New Senate majority leader’s main goal for GOP: Don’t be scary,0.0023657968267798424,0.001934104599058628,0.960090160369873,0.0019334055250510573,0.025317389518022537,0.002819207962602377,0.005539889447391033
24,‘Inferno’ and the Overpopulation Myth,0.13868269324302673,0.13013529777526855,0.26016029715538025,0.0024971480015665293,0.3973733186721802,0.02661789022386074,0.04453326016664505
25,Anti-Trump forces seek last-ditch delegate revolt,0.5887624621391296,0.006239371374249458,0.2902681827545166,0.004133707843720913,0.09481741487979889,0.009587760083377361,0.00619104877114296
26,Sanders Trounces Clinton in W. Va. -- But Will It Make a Difference?,0.030981123447418213,0.06075737252831459,0.11383525282144547,0.002666291780769825,0.48370710015296936,0.28188326954841614,0.02616957016289234
27,Donald Trump Is Changing His Campaign Slogan to Prove He’s Not Racist,0.05571896955370903,0.10263299942016602,0.020830953493714333,0.0020764688961207867,0.7949510216712952,0.010367512702941895,0.013421990908682346
28,Pure chaos: Donald Trump’s campaign management offers a glimpse into his governing style (spoiler alert: it’s terrible),0.029117364436388016,0.6688545346260071,0.25750094652175903,0.0012664726236835122,0.019788753241300583,0.014553497545421124,0.00891844555735588
29,"Syrian War Report – November 1, 2016: Syrian Military Deploys Advanced T-90 Battle Tanks to Aleppo",0.024979116395115852,0.012258957140147686,0.03751915320754051,0.030239159241318703,0.673285961151123,0.034191180020570755,0.1875264048576355
30,GOP insiders: Carly crushed it,0.6632998585700989,0.20407646894454956,0.007452681194990873,0.0024454575031995773,0.07258975505828857,0.02920091710984707,0.020934902131557465
31,Jeffrey Sewell et al. : Metabiology face to face with Artificial Intelligence [VIDEO],0.03391328826546669,0.022303786128759384,0.23997926712036133,0.022058824077248573,0.5146583914756775,0.015397939831018448,0.15168848633766174
